X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.9869,0.663348,9.81382,0.0042,-2.74442,1.89709,9.82035,0.0042,0.480028,-0.311827,9.81386,0.0042,-1.10197,3.69097,9.81376,0.0042,3.1977,2.56454,9.81425,0.0042,-3.89605,4.54212,9.81969,0.0042,2.40172,0.173432,9.81349,0.0042,-1.88451,-4.44657,9.81305,0.0042,-4.0772,-1.3297,9.8137,0.0042,-3.58908,-3.3191,9.81338,0.0042,907550,
-4.9871,0.664512,9.81005,0.0043,-2.74062,1.88101,9.81735,0.0043,0.470157,-0.314918,9.81025,0.0043,-1.09187,3.68414,9.81023,0.0043,3.19653,2.56837,9.81048,0.0043,-3.9081,4.55077,9.81673,0.0043,2.40872,0.173575,9.80989,0.0043,-1.87983,-4.437,9.80948,0.0043,-4.07688,-1.32868,9.80994,0.0043,-3.59169,-3.31748,9.80961,0.0043,864713,
-4.98731,0.665696,9.80628,0.0044,-2.73695,1.86557,9.81423,0.0044,0.460456,-0.317969,9.80663,0.0044,-1.08195,3.67745,9.80668,0.0044,3.19536,2.57223,9.8067,0.0044,-3.91988,4.55881,9.81365,0.0044,2.41553,0.173647,9.80628,0.0044,-1.87505,-4.42768,9.80591,0.0044,-4.07657,-1.32764,9.80618,0.0044,-3.59433,-3.31582,9.80583,0.0044,822095,
-4.98754,0.666898,9.80255,0.0045,-2.73339,1.85074,9.81104,0.0045,0.450928,-0.320979,9.80304,0.0045,-1.07221,3.6709,9.80315,0.0045,3.19417,2.57612,9.80296,0.0045,-3.93138,4.56628,9.8105,0.0045,2.42214,0.173647,9.8027,0.0045,-1.87017,-4.41859,9.80236,0.0045,-4.07625,-1.3266,9.80246,0.0045,-3.59698,-3.31412,9.80209,0.0045,779651,
-4.98779,0.66812,9.79889,0.0046,-2.72994,1.8365,9.80781,0.0046,0.441574,-0.323948,9.79953,0.0046,-1.06265,3.6645,9.7997,0.0046,3.19298,2.58003,9.7993,0.0046,-3.94262,4.57318,9.80731,0.0046,2.42856,0.173578,9.7992,0.0046,-1.8652,-4.40973,9.79889,0.0046,-4.07594,-1.32555,9.79882,0.0046,-3.59966,-3.31237,9.79843,0.0046,737424,
-4.98805,0.66936,9.79536,0.0047,-2.72661,1.82282,9.80458,0.0047,0.432393,-0.326876,9.79613,0.0047,-1.05327,3.65824,9.79635,0.0047,3.19178,2.58396,9.79577,0.0047,-3.95359,4.57955,9.80413,0.0047,2.43478,0.173439,9.79581,0.0047,-1.86015,-4.40111,9.79553,0.0047,-4.07562,-1.32449,9.7953,0.0047,-3.60234,-3.31059,9.7949,0.0047,695627,
-4.98832,0.670619,9.79199,0.0048,-2.72336,1.80969,9.8014,0.0048,0.423386,-0.329763,9.79288,0.0048,-1.04407,3.65212,9.79314,0.0048,3.19057,2.58791,9.79239,0.0048,-3.96432,4.58541,9.801,0.0048,2.44081,0.173233,9.79257,0.0048,-1.85502,-4.39272,9.79231,0.0048,-4.07531,-1.32342,9.79194,0.0048,-3.60505,-3.30878,9.79152,0.0048,654509,
-4.9886,0.671898,9.78881,0.0049,-2.72022,1.79709,9.7983,0.0049,0.414552,-0.332609,9.78981,0.0049,-1.03505,3.64615,9.79011,0.0049,3.18936,2.59187,9.78921,0.0049,-3.9748,4.59079,9.79794,0.0049,2.44666,0.17296,9.78951,0.0049,-1.84981,-4.38455,9.78928,0.0049,-4.075,-1.32235,9.78878,0.0049,-3.60776,-3.30694,9.78834,0.0049,614374,
-4.9889,0.673195,9.78586,0.005,-2.71716,1.78499,9.79531,0.005,0.40589,-0.335414,9.78695,0.005,-1.0262,3.64031,9.78728,0.005,3.18813,2.59585,9.78626,0.005,-3.98504,4.59569,9.795,0.005,2.45231,0.172622,9.78666,0.005,-1.84454,-4.3766,9.78645,0.005,-4.07468,-1.32127,9.78584,0.005,-3.61048,-3.30507,9.78538,0.005,575550,
-4.98921,0.67451,9.78316,0.0051,-2.71418,1.77338,9.79246,0.0051,0.397401,-0.338178,9.78433,0.0051,-1.01753,3.63461,9.78468,0.0051,3.1869,2.59984,9.78355,0.0051,-3.99505,4.60015,9.7922,0.0051,2.45777,0.172221,9.78405,0.0051,-1.8392,-4.36887,9.78386,0.0051,-4.07437,-1.32018,9.78314,0.0051,-3.61321,-3.30318,9.78267,0.0051,538375,
-4.98953,0.675845,9.78072,0.0052,-2.71127,1.76224,9.78979,0.0052,0.389081,-0.340902,9.78197,0.0052,-1.00902,3.62905,9.78233,0.0052,3.18566,2.60385,9.78112,0.0052,-4.00483,4.60419,9.78957,0.0052,2.46305,0.171756,9.7817,0.0052,-1.8338,-4.36136,9.78152,0.0052,-4.07406,-1.31909,9.78072,0.0052,-3.61594,-3.30127,9.78023,0.0052,503164,
