X_0,Y_0,Z_0,X_1,Y_1,Z_1,Time_list
-16.5406,2.10819,9.79781,-0.671156,-4.98893,9.80186,0.0301
-16.5403,2.10815,9.79806,-0.671155,-4.98892,9.80146,0.0302
-16.54,2.10811,9.7983,-0.671154,-4.98891,9.80103,0.0303
-16.5397,2.10808,9.79854,-0.671153,-4.98891,9.80059,0.0304
-16.5394,2.10804,9.79875,-0.671152,-4.9889,9.80014,0.0305
-16.5391,2.108,9.79896,-0.671151,-4.98889,9.79968,0.0306
-16.5388,2.10796,9.79914,-0.67115,-4.98889,9.79922,0.0307
-16.5385,2.10792,9.79931,-0.67115,-4.98888,9.79876,0.0308
-16.5382,2.10788,9.79946,-0.671149,-4.98887,9.79832,0.0309
-16.5379,2.10785,9.79958,-0.671148,-4.98886,9.79789,0.031
-16.5376,2.10781,9.79968,-0.671147,-4.98886,9.79748,0.0311
-16.5373,2.10777,9.79977,-0.671146,-4.98885,9.79709,0.0312
-16.537,2.10773,9.79982,-0.671145,-4.98884,9.79673,0.0313
-16.5367,2.10769,9.79986,-0.671144,-4.98884,9.7964,0.0314
-16.5364,2.10765,9.79988,-0.671143,-4.98883,9.79611,0.0315
-16.5361,2.10762,9.79987,-0.671142,-4.98882,9.79585,0.0316
-16.5358,2.10758,9.79984,-0.671141,-4.98882,9.79562,0.0317
-16.5355,2.10754,9.7998,-0.67114,-4.98881,9.79544,0.0318
-16.5352,2.1075,9.79973,-0.671139,-4.9888,9.7953,0.0319
-16.5349,2.10746,9.79965,-0.671138,-4.98879,9.79519,0.032
-16.5346,2.10742,9.79956,-0.671137,-4.98879,9.79513,0.0321
-16.5343,2.10739,9.79945,-0.671136,-4.98878,9.7951,0.0322
-16.534,2.10735,9.79933,-0.671135,-4.98877,9.79511,0.0323
-16.5337,2.10731,9.7992,-0.671134,-4.98877,9.79515,0.0324
-16.5334,2.10727,9.79906,-0.671134,-4.98876,9.79523,0.0325
-16.5331,2.10723,9.79892,-0.671133,-4.98875,9.79535,0.0326
-16.5328,2.10719,9.79878,-0.671132,-4.98875,9.79549,0.0327
-16.5325,2.10716,9.79863,-0.671131,-4.98874,9.79565,0.0328
-16.5322,2.10712,9.79848,-0.67113,-4.98873,9.79584,0.0329
-16.5319,2.10708,9.79833,-0.671129,-4.98872,9.79605,0.033
-16.5316,2.10704,9.79819,-0.671128,-4.98872,9.79628,0.0331
-16.5313,2.107,9.79805,-0.671127,-4.98871,9.79652,0.0332
-16.531,2.10697,9.79792,-0.671126,-4.9887,9.79677,0.0333
-16.5307,2.10693,9.7978,-0.671125,-4.9887,9.79703,0.0334
-16.5304,2.10689,9.79768,-0.671124,-4.98869,9.79729,0.0335
-16.5301,2.10685,9.79758,-0.671123,-4.98868,9.79755,0.0336
-16.5298,2.10681,9.79748,-0.671122,-4.98868,9.79781,0.0337
-16.5295,2.10677,9.7974,-0.671121,-4.98867,9.79806,0.0338
-16.5292,2.10674,9.79733,-0.67112,-4.98866,9.7983,0.0339
-16.5289,2.1067,9.79727,-0.671119,-4.98865,9.79854,0.034
-16.5286,2.10666,9.79723,-0.671118,-4.98865,9.79875,0.0341
-16.5283,2.10662,9.7972,-0.671117,-4.98864,9.79896,0.0342
-16.528,2.10658,9.79718,-0.671117,-4.98863,9.79914,0.0343
-16.5277,2.10654,9.79717,-0.671116,-4.98863,9.79931,0.0344
-16.5274,2.10651,9.79717,-0.671115,-4.98862,9.79946,0.0345
-16.5271,2.10647,9.79719,-0.671114,-4.98861,9.79958,0.0346
-16.5268,2.10643,9.79721,-0.671113,-4.98861,9.79968,0.0347
-16.5265,2.10639,9.79725,-0.671112,-4.9886,9.79977,0.0348
-16.5262,2.10635,9.7973,-0.671111,-4.98859,9.79982,0.0349
-16.5259,2.10631,9.79735,-0.67111,-4.98858,9.79986,0.035
-16.5256,2.10628,9.79741,-0.671109,-4.98858,9.79988,0.0351
-16.5253,2.10624,9.79748,-0.671108,-4.98857,9.79987,0.0352
-16.525,2.1062,9.79755,-0.671107,-4.98856,9.79984,0.0353
-16.5247,2.10616,9.79763,-0.671106,-4.98856,9.7998,0.0354
-16.5244,2.10612,9.79771,-0.671105,-4.98855,9.79973,0.0355
-16.5241,2.10609,9.79779,-0.671104,-4.98854,9.79965,0.0356
-16.5238,2.10605,9.79788,-0.671103,-4.98854,9.79956,0.0357
-16.5235,2.10601,9.79796,-0.671102,-4.98853,9.79945,0.0358
-16.5232,2.10597,9.79804,-0.671101,-4.98852,9.79933,0.0359
-16.5229,2.10593,9.79813,-0.671101,-4.98851,9.7992,0.036
-16.5226,2.10589,9.7982,-0.6711,-4.98851,9.79906,0.0361
-16.5223,2.10586,9.79828,-0.671099,-4.9885,9.79892,0.0362
-16.522,2.10582,9.79835,-0.671098,-4.98849,9.79878,0.0363
-16.5217,2.10578,9.79841,-0.671097,-4.98849,9.79863,0.0364
-16.5214,2.10574,9.79847,-0.671096,-4.98848,9.79848,0.0365
-16.5211,2.1057,9.79852,-0.671095,-4.98847,9.79833,0.0366
-16.5208,2.10566,9.79857,-0.671094,-4.98847,9.79819,0.0367
-16.5205,2.10563,9.79861,-0.671093,-4.98846,9.79805,0.0368
-16.5202,2.10559,9.79864,-0.671092,-4.98845,9.79792,0.0369
-16.5199,2.10555,9.79867,-0.671091,-4.98844,9.7978,0.037
-16.5196,2.10551,9.79869,-0.67109,-4.98844,9.79768,0.0371
-16.5193,2.10547,9.7987,-0.671089,-4.98843,9.79758,0.0372
-16.519,2.10544,9.7987,-0.671088,-4.98842,9.79748,0.0373
-16.5187,2.1054,9.7987,-0.671087,-4.98842,9.7974,0.0374
-16.5184,2.10536,9.79869,-0.671086,-4.98841,9.79733,0.0375
-16.5181,2.10532,9.79868,-0.671085,-4.9884,9.79727,0.0376
-16.5178,2.10528,9.79865,-0.671084,-4.9884,9.79723,0.0377
-16.5175,2.10524,9.79863,-0.671084,-4.98839,9.7972,0.0378
-16.5172,2.10521,9.7986,-0.671083,-4.98838,9.79718,0.0379
