X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2
-16.6405,2.12092,9.81033,0.0151,-0.673476,-5.00617,9.81033,0.0187,-10.8738,11.9755,9.81033,0.0223
-16.6406,2.12093,9.81013,0.0152,-0.673492,-5.00629,9.81013,0.0188,-10.8739,11.9756,9.81013,0.0224
-16.6407,2.12095,9.80949,0.0153,-0.673508,-5.00641,9.80949,0.0189,-10.8739,11.9757,9.80949,0.0225
-16.6409,2.12096,9.80843,0.0154,-0.673524,-5.00653,9.80843,0.019,-10.874,11.9758,9.80843,0.0226
-16.641,2.12098,9.80697,0.0155,-0.673541,-5.00665,9.80697,0.0191,-10.8741,11.9759,9.80697,0.0227
-16.6411,2.12099,9.80515,0.0156,-0.673557,-5.00677,9.80515,0.0192,-10.8742,11.976,9.80515,0.0228
-16.6412,2.12101,9.80299,0.0157,-0.673573,-5.00689,9.80299,0.0193,-10.8743,11.9761,9.80299,0.0229
-16.6413,2.12102,9.80054,0.0158,-0.673589,-5.00701,9.80054,0.0194,-10.8743,11.9761,9.80054,0.023
-16.6415,2.12104,9.79783,0.0159,-0.673606,-5.00714,9.79783,0.0195,-10.8744,11.9762,9.79783,0.0231
-16.6416,2.12105,9.79489,0.016,-0.673622,-5.00726,9.79489,0.0196,-10.8745,11.9763,9.79489,0.0232
-16.6417,2.12107,9.79177,0.0161,-0.673638,-5.00738,9.79177,0.0197,-10.8746,11.9764,9.79177,0.0233
-16.6418,2.12108,9.78851,0.0162,-0.673654,-5.0075,9.78851,0.0198,-10.8747,11.9765,9.78851,0.0234
-16.642,2.1211,9.78515,0.0163,-0.673671,-5.00762,9.78515,0.0199,-10.8748,11.9766,9.78515,0.0235
-16.6421,2.12112,9.78172,0.0164,-0.673687,-5.00774,9.78172,0.02,-10.8748,11.9767,9.78172,0.0236
-16.6422,2.12113,9.77826,0.0165,-0.673703,-5.00786,9.77826,0.0201,-10.8749,11.9768,9.77826,0.0237
-16.6423,2.12115,9.77481,0.0166,-0.673719,-5.00798,9.77481,0.0202,-10.875,11.9769,9.77481,0.0238
-16.6424,2.12116,9.7714,0.0167,-0.673736,-5.0081,9.7714,0.0203,-10.8751,11.977,9.7714,0.0239
-16.6426,2.12118,9.76807,0.0168,-0.673752,-5.00822,9.76807,0.0204,-10.8752,11.977,9.76807,0.024
-16.6427,2.12119,9.76485,0.0169,-0.673768,-5.00834,9.76485,0.0205,-10.8752,11.9771,9.76485,0.0241
-16.6428,2.12121,9.76176,0.017,-0.673784,-5.00846,9.76176,0.0206,-10.8753,11.9772,9.76176,0.0242
-16.6429,2.12122,9.75884,0.0171,-0.6738,-5.00858,9.75884,0.0207,-10.8754,11.9773,9.75884,0.0243
-16.643,2.12124,9.7561,0.0172,-0.673817,-5.0087,9.7561,0.0208,-10.8755,11.9774,9.7561,0.0244
-16.6432,2.12125,9.75357,0.0173,-0.673833,-5.00882,9.75357,0.0209,-10.8756,11.9775,9.75357,0.0245
-16.6433,2.12127,9.75127,0.0174,-0.673849,-5.00895,9.75127,0.021,-10.8757,11.9776,9.75127,0.0246
-16.6434,2.12128,9.74921,0.0175,-0.673865,-5.00907,9.74921,0.0211,-10.8757,11.9777,9.74921,0.0247
-16.6435,2.1213,9.74739,0.0176,-0.673882,-5.00919,9.74739,0.0212,-10.8758,11.9778,9.74739,0.0248
-16.6436,2.12131,9.74584,0.0177,-0.673898,-5.00931,9.74584,0.0213,-10.8759,11.9779,9.74584,0.0249
-16.6438,2.12133,9.74455,0.0178,-0.673914,-5.00943,9.74455,0.0214,-10.876,11.9779,9.74455,0.025
-16.6439,2.12135,9.74353,0.0179,-0.67393,-5.00955,9.74353,0.0215,-10.8761,11.978,9.74353,0.0251
-16.644,2.12136,9.74278,0.018,-0.673947,-5.00967,9.74278,0.0216,-10.8761,11.9781,9.74278,0.0252
-16.6441,2.12138,9.7423,0.0181,-0.673963,-5.00979,9.7423,0.0217,-10.8762,11.9782,9.7423,0.0253
-16.6442,2.12139,9.74207,0.0182,-0.673979,-5.00991,9.74207,0.0218,-10.8763,11.9783,9.74207,0.0254
-16.6444,2.12141,9.7421,0.0183,-0.673995,-5.01003,9.7421,0.0219,-10.8764,11.9784,9.7421,0.0255
-16.6445,2.12142,9.74236,0.0184,-0.674012,-5.01015,9.74236,0.022,-10.8765,11.9785,9.74236,0.0256
-16.6446,2.12144,9.74286,0.0185,-0.674028,-5.01027,9.74286,0.0221,-10.8766,11.9786,9.74286,0.0257
-16.6447,2.12145,9.74357,0.0186,-0.674044,-5.01039,9.74357,0.0222,-10.8766,11.9787,9.74357,0.0258
-16.6449,2.12147,9.74449,0.0187,-0.67406,-5.01052,9.74449,0.0223,-10.8767,11.9788,9.74449,0.0259
-16.645,2.12148,9.74558,0.0188,-0.674077,-5.01064,9.74558,0.0224,-10.8768,11.9789,9.74558,0.026
-16.6451,2.1215,9.74684,0.0189,-0.674093,-5.01076,9.74684,0.0225,-10.8769,11.9789,9.74684,0.0261
-16.6452,2.12151,9.74824,0.019,-0.674109,-5.01088,9.74824,0.0226,-10.877,11.979,9.74824,0.0262
-16.6453,2.12153,9.74976,0.0191,-0.674125,-5.011,9.74976,0.0227,-10.877,11.9791,9.74976,0.0263
-16.6455,2.12154,9.75139,0.0192,-0.674142,-5.01112,9.75139,0.0228,-10.8771,11.9792,9.75139,0.0264
-16.6456,2.12156,9.75311,0.0193,-0.674158,-5.01124,9.75311,0.0229,-10.8772,11.9793,9.75311,0.0265
-16.6457,2.12158,9.75488,0.0194,-0.674174,-5.01136,9.75488,0.023,-10.8773,11.9794,9.75488,0.0266
-16.6458,2.12159,9.7567,0.0195,-0.67419,-5.01148,9.7567,0.0231,-10.8774,11.9795,9.7567,0.0267
-16.6459,2.12161,9.75853,0.0196,-0.674206,-5.0116,9.75853,0.0232,-10.8775,11.9796,9.75853,0.0268
-16.6461,2.12162,9.76037,0.0197,-0.674223,-5.01172,9.76037,0.0233,-10.8775,11.9797,9.76037,0.0269
-16.6462,2.12164,9.76219,0.0198,-0.674239,-5.01184,9.76219,0.0234,-10.8776,11.9798,9.76219,0.027
-16.6463,2.12165,9.76398,0.0199,-0.674255,-5.01196,9.76398,0.0235,-10.8777,11.9798,9.76398,0.0271
-16.6464,2.12167,9.76571,0.02,-0.674271,-5.01208,9.76571,0.0236,-10.8778,11.9799,9.76571,0.0272
-16.6465,2.12168,9.76738,0.0201,-0.674288,-5.01221,9.76738,0.0237,-10.8779,11.98,9.76738,0.0273
-16.6467,2.1217,9.76896,0.0202,-0.674304,-5.01233,9.76896,0.0238,-10.8779,11.9801,9.76896,0.0274
-16.6468,2.12171,9.77045,0.0203,-0.67432,-5.01245,9.77045,0.0239,-10.878,11.9802,9.77045,0.0275
-16.6469,2.12173,9.77183,0.0204,-0.674336,-5.01257,9.77183,0.024,-10.8781,11.9803,9.77183,0.0276
-16.647,2.12174,9.77309,0.0205,-0.674353,-5.01269,9.77309,0.0241,-10.8782,11.9804,9.77309,0.0277
-16.6472,2.12176,9.77423,0.0206,-0.674369,-5.01281,9.77423,0.0242,-10.8783,11.9805,9.77423,0.0278
-16.6473,2.12178,9.77524,0.0207,-0.674385,-5.01293,9.77524,0.0243,-10.8784,11.9806,9.77524,0.0279
-16.6474,2.12179,9.7761,0.0208,-0.674401,-5.01305,9.7761,0.0244,-10.8784,11.9807,9.7761,0.028
-16.6475,2.12181,9.77683,0.0209,-0.674418,-5.01317,9.77683,0.0245,-10.8785,11.9807,9.77683,0.0281
-16.6476,2.12182,9.77742,0.021,-0.674434,-5.01329,9.77742,0.0246,-10.8786,11.9808,9.77742,0.0282
-16.6478,2.12184,9.77786,0.0211,-0.67445,-5.01341,9.77786,0.0247,-10.8787,11.9809,9.77786,0.0283
-16.6479,2.12185,9.77816,0.0212,-0.674466,-5.01353,9.77816,0.0248,-10.8788,11.981,9.77816,0.0284
-16.648,2.12187,9.77833,0.0213,-0.674483,-5.01365,9.77833,0.0249,-10.8788,11.9811,9.77833,0.0285
-16.6481,2.12188,9.77835,0.0214,-0.674499,-5.01377,9.77835,0.025,-10.8789,11.9812,9.77835,0.0286
-16.6482,2.1219,9.77825,0.0215,-0.674515,-5.0139,9.77825,0.0251,-10.879,11.9813,9.77825,0.0287
-16.6484,2.12191,9.77802,0.0216,-0.674531,-5.01402,9.77802,0.0252,-10.8791,11.9814,9.77802,0.0288
