X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-13.7183,1.74581,9.79815,1.1031,-0.662265,-4.92292,9.79815,1.1067,-8.98903,9.904,9.79815,1.1103,-13.1118,-11.046,9.79815,1.1139,13.4604,-1.49681,9.79815,1.1175
-13.7181,1.74578,9.79815,1.1032,-0.662264,-4.92291,9.79815,1.1068,-8.98888,9.90384,9.79815,1.1104,-13.1116,-11.0458,9.79815,1.114,13.4601,-1.49678,9.79815,1.1176
-13.7178,1.74575,9.79815,1.1033,-0.662264,-4.92291,9.79815,1.1069,-8.98873,9.90367,9.79815,1.1105,-13.1113,-11.0456,9.79815,1.1141,13.4599,-1.49676,9.79815,1.1177
-13.7176,1.74572,9.79815,1.1034,-0.662263,-4.9229,9.79815,1.107,-8.98858,9.90351,9.79815,1.1106,-13.1111,-11.0454,9.79815,1.1142,13.4597,-1.49673,9.79815,1.1178
-13.7174,1.74569,9.79815,1.1035,-0.662262,-4.9229,9.79815,1.1071,-8.98843,9.90335,9.79815,1.1107,-13.1108,-11.0452,9.79815,1.1143,13.4595,-1.49671,9.79815,1.1179
-13.7171,1.74566,9.79815,1.1036,-0.662261,-4.92289,9.79815,1.1072,-8.98829,9.90319,9.79815,1.1108,-13.1106,-11.045,9.79815,1.1144,13.4593,-1.49668,9.79815,1.118
-13.7169,1.74564,9.79815,1.1037,-0.662261,-4.92289,9.79815,1.1073,-8.98814,9.90303,9.79815,1.1109,-13.1104,-11.0448,9.79815,1.1145,13.459,-1.49666,9.79815,1.1181
-13.7167,1.74561,9.79815,1.1038,-0.66226,-4.92288,9.79815,1.1074,-8.98799,9.90286,9.79815,1.111,-13.1101,-11.0446,9.79815,1.1146,13.4588,-1.49664,9.79815,1.1182
-13.7165,1.74558,9.79815,1.1039,-0.662259,-4.92288,9.79815,1.1075,-8.98784,9.9027,9.79815,1.1111,-13.1099,-11.0444,9.79815,1.1147,13.4586,-1.49661,9.79815,1.1183
-13.7162,1.74555,9.79815,1.104,-0.662259,-4.92287,9.79815,1.1076,-8.9877,9.90254,9.79815,1.1112,-13.1096,-11.0442,9.79815,1.1148,13.4584,-1.49659,9.79815,1.1184
-13.716,1.74552,9.79815,1.1041,-0.662258,-4.92287,9.79815,1.1077,-8.98755,9.90238,9.79815,1.1113,-13.1094,-11.044,9.79815,1.1149,13.4581,-1.49656,9.79815,1.1185
-13.7158,1.74549,9.79815,1.1042,-0.662257,-4.92286,9.79815,1.1078,-8.9874,9.90222,9.79815,1.1114,-13.1091,-11.0438,9.79815,1.115,13.4579,-1.49654,9.79815,1.1186
-13.7155,1.74546,9.79815,1.1043,-0.662256,-4.92286,9.79815,1.1079,-8.98725,9.90206,9.79815,1.1115,-13.1089,-11.0436,9.79815,1.1151,13.4577,-1.49651,9.79815,1.1187
-13.7153,1.74543,9.79815,1.1044,-0.662256,-4.92285,9.79815,1.108,-8.9871,9.90189,9.79815,1.1116,-13.1087,-11.0434,9.79815,1.1152,13.4575,-1.49649,9.79815,1.1188
-13.7151,1.7454,9.79815,1.1045,-0.662255,-4.92285,9.79815,1.1081,-8.98696,9.90173,9.79815,1.1117,-13.1084,-11.0432,9.79815,1.1153,13.4573,-1.49646,9.79815,1.1189
-13.7149,1.74537,9.79815,1.1046,-0.662254,-4.92284,9.79815,1.1082,-8.98681,9.90157,9.79815,1.1118,-13.1082,-11.043,9.79815,1.1154,13.457,-1.49644,9.79815,1.119
