X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98725,0.666396,9.81468,0.0042,-2.73177,1.84147,9.81468,0.0042,0.452008,-0.320609,9.81468,0.0042,-1.07122,3.67197,9.81468,0.0042,3.19439,2.57517,9.81468,0.0042,-3.93377,4.57596,9.81468,0.0042,2.42173,0.17409,9.81468,0.0042,-1.87256,-4.41828,9.81468,0.0042,-4.07629,-1.3269,9.81468,0.0042,-3.59613,-3.31513,9.81468,0.0042,990070,
-4.9875,0.667706,9.81089,0.0043,-2.72774,1.82491,9.81089,0.0043,0.441642,-0.323889,9.81089,0.0043,-1.06059,3.66486,9.81089,0.0043,3.1931,2.5794,9.81089,0.0043,-3.94646,4.58448,9.81089,0.0043,2.42892,0.174086,9.81089,0.0043,-1.86726,-4.40838,9.81089,0.0043,-4.07594,-1.32577,9.81089,0.0043,-3.59902,-3.31326,9.81089,0.0043,941554,
-4.98777,0.669039,9.8071,0.0044,-2.72385,1.80902,9.8071,0.0044,0.431469,-0.327123,9.8071,0.0044,-1.05016,3.6579,9.8071,0.0044,3.1918,2.58367,9.8071,0.0044,-3.95884,4.59235,9.8071,0.0044,2.43589,0.174003,9.8071,0.0044,-1.86185,-4.39875,9.8071,0.0044,-4.0756,-1.32463,9.8071,0.0044,-3.60193,-3.31134,9.8071,0.0044,893289,
-4.98806,0.670395,9.80334,0.0045,-2.72006,1.79377,9.80335,0.0045,0.421489,-0.330313,9.80334,0.0045,-1.03994,3.65111,9.80334,0.0045,3.19048,2.58795,9.80334,0.0045,-3.97094,4.59962,9.80334,0.0045,2.44264,0.173841,9.80334,0.0045,-1.85635,-4.38937,9.80334,0.0045,-4.07526,-1.32348,9.80334,0.0045,-3.60485,-3.30938,9.80334,0.0045,845294,
-4.98836,0.671775,9.79967,0.0046,-2.71639,1.77914,9.79967,0.0046,0.411703,-0.333457,9.79967,0.0046,-1.02991,3.64447,9.79967,0.0046,3.18916,2.59227,9.79967,0.0046,-3.98276,4.6063,9.79967,0.0046,2.44918,0.173602,9.79967,0.0046,-1.85076,-4.38026,9.79967,0.0046,-4.07492,-1.32233,9.79967,0.0046,-3.60779,-3.30737,9.79967,0.0046,797711,
-4.98868,0.673177,9.79612,0.0047,-2.71282,1.76511,9.79612,0.0047,0.402111,-0.336557,9.79612,0.0047,-1.02009,3.63799,9.79612,0.0047,3.18783,2.5966,9.79612,0.0047,-3.9943,4.61242,9.79612,0.0047,2.45549,0.173286,9.79612,0.0047,-1.84508,-4.37139,9.79612,0.0047,-4.07458,-1.32116,9.79612,0.0047,-3.61074,-3.30533,9.79612,0.0047,750796,
-4.98901,0.674602,9.79273,0.0048,-2.70935,1.75165,9.79273,0.0048,0.392713,-0.339611,9.79273,0.0048,-1.01046,3.63167,9.79273,0.0048,3.18649,2.60095,9.79273,0.0048,-4.00558,4.61801,9.79273,0.0048,2.4616,0.172896,9.79273,0.0048,-1.83931,-4.36278,9.79273,0.0048,-4.07424,-1.31999,9.79273,0.0048,-3.6137,-3.30326,9.79273,0.0048,704848,
-4.98936,0.676051,9.78954,0.0049,-2.70597,1.73874,9.78954,0.0049,0.383507,-0.34262,9.78954,0.0049,-1.00103,3.6255,9.78954,0.0049,3.18514,2.60531,9.78954,0.0049,-4.01659,4.62309,9.78954,0.0049,2.46749,0.172433,9.78954,0.0049,-1.83348,-4.35441,9.78954,0.0049,-4.0739,-1.31881,9.78954,0.0049,-3.61667,-3.30116,9.78954,0.0049,660230,
-4.98972,0.677523,9.78657,0.005,-2.70267,1.72637,9.78657,0.005,0.374492,-0.345585,9.78657,0.005,-0.991795,3.61949,9.78657,0.005,3.18378,2.60969,9.78657,0.005,-4.02734,4.62768,9.78657,0.005,2.47318,0.171899,9.78657,0.005,-1.82758,-4.34628,9.78657,0.005,-4.07356,-1.31762,9.78657,0.005,-3.61964,-3.29903,9.78657,0.005,617331,
-4.99009,0.679018,9.78385,0.0051,-2.69945,1.7145,9.78385,0.0051,0.365667,-0.348506,9.78385,0.0051,-0.982747,3.61363,9.78385,0.0051,3.18241,2.61409,9.78385,0.0051,-4.03785,4.63181,9.78385,0.0051,2.47865,0.171295,9.78385,0.0051,-1.82161,-4.33839,9.78385,0.0051,-4.07322,-1.31642,9.78385,0.0051,-3.62261,-3.29689,9.78385,0.0051,576515,
