X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-16.6065,2.11659,9.95811,0.0083,-0.671329,-4.99021,9.95811,0.0119,-10.8514,11.9508,9.95811,0.0155,-16.1478,-13.6037,9.95811,0.0191,16.2653,-1.80872,9.95811,0.0227
-16.6062,2.11655,9.9601,0.0084,-0.671328,-4.9902,9.9601,0.012,-10.8512,11.9506,9.9601,0.0156,-16.1475,-13.6034,9.9601,0.0192,16.265,-1.80869,9.9601,0.0228
-16.6059,2.11651,9.96008,0.0085,-0.671327,-4.9902,9.96008,0.0121,-10.851,11.9504,9.96008,0.0157,-16.1472,-13.6031,9.96008,0.0193,16.2647,-1.80865,9.96008,0.0229
-16.6056,2.11647,9.95814,0.0086,-0.671326,-4.99019,9.95814,0.0122,-10.8508,11.9502,9.95814,0.0158,-16.1469,-13.6029,9.95814,0.0194,16.2644,-1.80862,9.95814,0.023
-16.6053,2.11643,9.95437,0.0087,-0.671325,-4.99018,9.95437,0.0123,-10.8506,11.95,9.95437,0.0159,-16.1466,-13.6026,9.95437,0.0195,16.2641,-1.80859,9.95437,0.0231
-16.605,2.1164,9.94888,0.0088,-0.671324,-4.99018,9.94888,0.0124,-10.8504,11.9498,9.94888,0.016,-16.1463,-13.6024,9.94888,0.0196,16.2638,-1.80856,9.94888,0.0232
-16.6047,2.11636,9.94181,0.0089,-0.671323,-4.99017,9.94181,0.0125,-10.8502,11.9496,9.94181,0.0161,-16.1459,-13.6021,9.94181,0.0197,16.2635,-1.80853,9.94181,0.0233
-16.6044,2.11632,9.9333,0.009,-0.671322,-4.99016,9.9333,0.0126,-10.85,11.9494,9.9333,0.0162,-16.1456,-13.6018,9.9333,0.0198,16.2632,-1.80849,9.9333,0.0234
-16.6041,2.11628,9.92351,0.0091,-0.671321,-4.99016,9.92351,0.0127,-10.8498,11.9491,9.92351,0.0163,-16.1453,-13.6016,9.92351,0.0199,16.2629,-1.80846,9.92351,0.0235
-16.6038,2.11624,9.9126,0.0092,-0.67132,-4.99015,9.9126,0.0128,-10.8496,11.9489,9.9126,0.0164,-16.145,-13.6013,9.9126,0.02,16.2627,-1.80843,9.9126,0.0236
-16.6035,2.11621,9.90075,0.0093,-0.67132,-4.99014,9.90075,0.0129,-10.8494,11.9487,9.90075,0.0165,-16.1447,-13.601,9.90075,0.0201,16.2624,-1.8084,9.90075,0.0237
-16.6032,2.11617,9.88814,0.0094,-0.671319,-4.99013,9.88814,0.013,-10.8492,11.9485,9.88814,0.0166,-16.1444,-13.6008,9.88814,0.0202,16.2621,-1.80836,9.88814,0.0238
-16.6029,2.11613,9.87494,0.0095,-0.671318,-4.99013,9.87494,0.0131,-10.8491,11.9483,9.87494,0.0167,-16.1441,-13.6005,9.87494,0.0203,16.2618,-1.80833,9.87494,0.0239
-16.6026,2.11609,9.86133,0.0096,-0.671317,-4.99012,9.86133,0.0132,-10.8489,11.9481,9.86133,0.0168,-16.1438,-13.6003,9.86133,0.0204,16.2615,-1.8083,9.86133,0.024
-16.6023,2.11605,9.84749,0.0097,-0.671316,-4.99011,9.84749,0.0133,-10.8487,11.9479,9.84749,0.0169,-16.1434,-13.6,9.84749,0.0205,16.2612,-1.80827,9.84749,0.0241
-16.602,2.11602,9.8336,0.0098,-0.671315,-4.99011,9.8336,0.0134,-10.8485,11.9477,9.8336,0.017,-16.1431,-13.5997,9.8336,0.0206,16.2609,-1.80824,9.8336,0.0242
-16.6017,2.11598,9.81982,0.0099,-0.671314,-4.9901,9.81982,0.0135,-10.8483,11.9474,9.81982,0.0171,-16.1428,-13.5995,9.81982,0.0207,16.2606,-1.8082,9.81982,0.0243
-16.6014,2.11594,9.80631,0.01,-0.671313,-4.99009,9.80631,0.0136,-10.8481,11.9472,9.80631,0.0172,-16.1425,-13.5992,9.80631,0.0208,16.2603,-1.80817,9.80631,0.0244
-16.6011,2.1159,9.79323,0.0101,-0.671312,-4.99009,9.79323,0.0137,-10.8479,11.947,9.79323,0.0173,-16.1422,-13.5989,9.79323,0.0209,16.26,-1.80814,9.79323,0.0245
-16.6008,2.11586,9.7807,0.0102,-0.671311,-4.99008,9.7807,0.0138,-10.8477,11.9468,9.7807,0.0174,-16.1419,-13.5987,9.7807,0.021,16.2598,-1.80811,9.7807,0.0246
-16.6005,2.11582,9.76887,0.0103,-0.67131,-4.99007,9.76887,0.0139,-10.8475,11.9466,9.76887,0.0175,-16.1416,-13.5984,9.76887,0.0211,16.2595,-1.80807,9.76887,0.0247
-16.6002,2.11579,9.75784,0.0104,-0.671309,-4.99007,9.75784,0.014,-10.8473,11.9464,9.75784,0.0176,-16.1412,-13.5981,9.75784,0.0212,16.2592,-1.80804,9.75784,0.0248
-16.5999,2.11575,9.74771,0.0105,-0.671308,-4.99006,9.74771,0.0141,-10.8471,11.9462,9.74771,0.0177,-16.1409,-13.5979,9.74771,0.0213,16.2589,-1.80801,9.74771,0.0249
-16.5996,2.11571,9.73857,0.0106,-0.671307,-4.99005,9.73857,0.0142,-10.8469,11.946,9.73857,0.0178,-16.1406,-13.5976,9.73857,0.0214,16.2586,-1.80798,9.73857,0.025
-16.5993,2.11567,9.73049,0.0107,-0.671306,-4.99004,9.73049,0.0143,-10.8467,11.9457,9.73049,0.0179,-16.1403,-13.5973,9.73049,0.0215,16.2583,-1.80794,9.73049,0.0251
