X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,Temperature_list,Speed_list
-16.625,2.11894,9.76458,0.099,-10.2234,10.2905,9.76458,0.099,2.83305,-0.671387,9.76458,0.099,-4.99064,13.1978,9.76458,0.099,10.7605,8.2194,9.76458,0.099,0.00699375,
-16.625,2.11894,9.76458,0.1,-10.2234,10.2905,9.76458,0.1,2.83305,-0.671387,9.76458,0.1,-4.99064,13.1978,9.76458,0.1,10.7605,8.2194,9.76458,0.1,0.012856,
-16.625,2.11894,9.76459,0.101,-10.2234,10.2905,9.76459,0.101,2.83305,-0.671387,9.76459,0.101,-4.99064,13.1978,9.76459,0.101,10.7605,8.2194,9.76459,0.101,0.00118815,
-16.625,2.11894,9.7646,0.102,-10.2234,10.2905,9.7646,0.102,2.83305,-0.671387,9.7646,0.102,-4.99064,13.1978,9.7646,0.102,10.7605,8.2194,9.7646,0.102,0.00391095,
-16.625,2.11894,9.7646,0.103,-10.2234,10.2905,9.7646,0.103,2.83305,-0.671387,9.7646,0.103,-4.99064,13.1978,9.7646,0.103,10.7605,8.2194,9.7646,0.103,0.00738176,
-16.625,2.11894,9.76459,0.104,-10.2234,10.2905,9.76459,0.104,2.83305,-0.671387,9.76459,0.104,-4.99064,13.1978,9.76459,0.104,10.7605,8.2194,9.76459,0.104,0.000718922,
-16.625,2.11894,9.76459,0.105,-10.2234,10.2905,9.76459,0.105,2.83305,-0.671387,9.76459,0.105,-4.99064,13.1978,9.76459,0.105,10.7605,8.2194,9.76459,0.105,0.00218583,
-16.625,2.11894,9.76458,0.106,-10.2234,10.2905,9.76458,0.106,2.83305,-0.671387,9.76458,0.106,-4.99064,13.1978,9.76458,0.106,10.7605,8.2194,9.76458,0.106,0.00423666,
-16.625,2.11894,9.76459,0.107,-10.2234,10.2905,9.76459,0.107,2.83305,-0.671387,9.76459,0.107,-4.99064,13.1978,9.76459,0.107,10.7605,8.2194,9.76459,0.107,0.000433882,
-16.625,2.11894,9.7646,0.108,-10.2234,10.2905,9.7646,0.108,2.83305,-0.671387,9.7646,0.108,-4.99064,13.1978,9.7646,0.108,10.7605,8.2194,9.7646,0.108,0.00122072,
-16.625,2.11894,9.7646,0.109,-10.2234,10.2905,9.7646,0.109,2.83305,-0.671387,9.7646,0.109,-4.99064,13.1978,9.7646,0.109,10.7605,8.2194,9.7646,0.109,0.00243103,
-16.625,2.11894,9.76459,0.11,-10.2234,10.2905,9.76459,0.11,2.83305,-0.671387,9.76459,0.11,-4.99064,13.1978,9.76459,0.11,10.7605,8.2194,9.76459,0.11,0.000261399,
-16.625,2.11894,9.76459,0.111,-10.2234,10.2905,9.76459,0.111,2.83305,-0.671387,9.76459,0.111,-4.99064,13.1978,9.76459,0.111,10.7605,8.2194,9.76459,0.111,0.000681256,
-16.625,2.11894,9.76459,0.112,-10.2234,10.2905,9.76459,0.112,2.83305,-0.671387,9.76459,0.112,-4.99064,13.1978,9.76459,0.112,10.7605,8.2194,9.76459,0.112,0.00139451,
-16.625,2.11894,9.76459,0.113,-10.2234,10.2905,9.76459,0.113,2.83305,-0.671387,9.76459,0.113,-4.99064,13.1978,9.76459,0.113,10.7605,8.2194,9.76459,0.113,0.000157301,
-16.625,2.11894,9.76459,0.114,-10.2234,10.2905,9.76459,0.114,2.83305,-0.671387,9.76459,0.114,-4.99064,13.1978,9.76459,0.114,10.7605,8.2194,9.76459,0.114,0.000380863,
-16.625,2.11894,9.7646,0.115,-10.2234,10.2905,9.7646,0.115,2.83305,-0.671387,9.7646,0.115,-4.99064,13.1978,9.7646,0.115,10.7605,8.2194,9.7646,0.115,0.000799776,
-16.625,2.11894,9.76459,0.116,-10.2234,10.2905,9.76459,0.116,2.83305,-0.671387,9.76459,0.116,-4.99064,13.1978,9.76459,0.116,10.7605,8.2194,9.76459,0.116,9.44439e-005,
-16.625,2.11894,9.76459,0.117,-10.2234,10.2905,9.76459,0.117,2.83305,-0.671387,9.76459,0.117,-4.99064,13.1978,9.76459,0.117,10.7605,8.2194,9.76459,0.117,0.000212463,
-16.625,2.11894,9.76459,0.118,-10.2234,10.2905,9.76459,0.118,2.83305,-0.671387,9.76459,0.118,-4.99064,13.1978,9.76459,0.118,10.7605,8.2194,9.76459,0.118,0.000458636,
-16.625,2.11894,9.76459,0.119,-10.2234,10.2905,9.76459,0.119,2.83305,-0.671387,9.76459,0.119,-4.99064,13.1978,9.76459,0.119,10.7605,8.2194,9.76459,0.119,5.66882e-005,
-16.625,2.11894,9.76459,0.12,-10.2234,10.2905,9.76459,0.12,2.83305,-0.671387,9.76459,0.12,-4.99064,13.1978,9.76459,0.12,10.7605,8.2194,9.76459,0.12,0.000118473,
-16.625,2.11894,9.76459,0.121,-10.2234,10.2905,9.76459,0.121,2.83305,-0.671387,9.76459,0.121,-4.99064,13.1978,9.76459,0.121,10.7605,8.2194,9.76459,0.121,0.000263161,
-16.625,2.11894,9.76459,0.122,-10.2234,10.2905,9.76459,0.122,2.83305,-0.671387,9.76459,0.122,-4.99064,13.1978,9.76459,0.122,10.7605,8.2194,9.76459,0.122,3.39837e-005,
-16.625,2.11894,9.76459,0.123,-10.2234,10.2905,9.76459,0.123,2.83305,-0.671387,9.76459,0.123,-4.99064,13.1978,9.76459,0.123,10.7605,8.2194,9.76459,0.123,6.59549e-005,
-16.625,2.11894,9.76459,0.124,-10.2234,10.2905,9.76459,0.124,2.83305,-0.671387,9.76459,0.124,-4.99064,13.1978,9.76459,0.124,10.7605,8.2194,9.76459,0.124,0.000150772,
-16.625,2.11894,9.76459,0.125,-10.2234,10.2905,9.76459,0.125,2.83305,-0.671387,9.76459,0.125,-4.99064,13.1978,9.76459,0.125,10.7605,8.2194,9.76459,0.125,2.03914e-005,
-16.625,2.11894,9.76459,0.126,-10.2234,10.2905,9.76459,0.126,2.83305,-0.671387,9.76459,0.126,-4.99064,13.1978,9.76459,0.126,10.7605,8.2194,9.76459,0.126,3.67193e-005,
-16.625,2.11894,9.76459,0.127,-10.2234,10.2905,9.76459,0.127,2.83305,-0.671387,9.76459,0.127,-4.99064,13.1978,9.76459,0.127,10.7605,8.2194,9.76459,0.127,8.63817e-005,
